title,author,metalanguage,topics,date,publisher
Grammaire de la langue jâgane,"Adam, Lucien",French,"kinship terms, pronouns, gender categories, number categories, numbers, abstractions, loco-temporal prefixes, phonetics",1885,"Paris, Maisonneuve frères & C. Leclerc"
"Los Shelknam, Indígenas de la Tierra del Fuego","Beauvoir, José Maria",Spanish,yet to see...,1915,"Buenos Aires, Talleres Gráficos de la Compañía General de Fósforos"
